product_type,print_provider_id,blueprint_id,source_product_title,print_provider_name,print_provider_country,product_cost,standard_shipping_first_item,standard_shipping_additional_items,handling_time_days,shipping_to_country,variants,total_customer_cost,score_normalized
bumper sticker,73,598,Bumper Stickers,Printed Simply,US,4.22,5.09,0.07,2-5 days,US,"71929: 7.5"" × 3.75"" / Rectangle / White",9.309999999999999,10.0
hoodie,3,439,Three-Panel Fleece Hoodie,Marco Fine Arts,US,24.72,8.49,2.09,2-5 days,US,"62259: Black / S, 62260: Black / M, 62261: Black / L, 62262: Black / XL, 62265: Heather Grey / S, 62266: Navy / S, 62270: Heather Grey / M, 62271: Navy / M, 62275: Heather Grey / L, 62276: Navy / L, 62280: Heather Grey / XL, 62281: Navy / XL, 68051: White / S, 68052: White / M, 68053: White / L, 68054: White / XL",33.21,7.06
hoodie,39,536,Unisex EcoSmart® Pullover Hoodie Sweatshirt,SwiftPOD,US,21.8,8.49,2.09,2-5 days,US,"69032: Black / S, 69033: Charcoal Heather / S, 69034: Black / M, 69035: Charcoal Heather / M, 69036: Black / L, 69037: Charcoal Heather / L, 69038: Black / XL, 69039: Charcoal Heather / XL, 69042: Light Steel / S, 69043: Light Steel / M, 69044: Light Steel / L, 69045: Light Steel / XL, 73243: Deep Forest / S, 73245: Deep Royal / S, 73248: Navy / S, 73249: Orange / S, 73252: Smoke Grey / S, 73253: White / S, 73254: Deep Forest / M, 73255: Deep Red / M, 73256: Deep Royal / M, 73259: Navy / M, 73260: Orange / M, 73262: Purple / M, 73263: Smoke Grey / M, 73264: White / M, 73265: Deep Forest / L, 73266: Deep Red / L, 73267: Deep Royal / L, 73270: Navy / L, 73273: Purple / L, 73274: Smoke Grey / L, 73275: White / L, 73276: Deep Forest / XL, 73278: Deep Royal / XL, 73279: Light Blue / XL, 73281: Navy / XL, 73284: Purple / XL, 73285: Smoke Grey / XL, 73286: White / XL, 111551: Ash / S, 111552: Athletic Cardinal / S, 111553: Athletic Crimson / S, 111554: Athletic Dark Green / S, 111555: Athletic Gold / S, 111556: Athletic Navy / S, 111557: Athletic Purple / S, 111558: Athletic Red / S, 111559: Athletic Royal / S, 111560: Athletic Teal / S, 111561: Athletic Yellow / S, 111562: Carolina Blue / S, 111563: Denim Blue / S, 111564: Fatigue Green / S, 111566: Heather Navy / S, 111567: Heather Red / S, 111568: Kelly Green / S, 111569: Lime / S, 111570: Safety Green / S, 111571: Safety Orange / S, 111572: Safety Pink / S, 111573: Sand / S, 111574: Teal / S, 111575: Tennessee Orange / S, 111576: Texas Orange / S, 111577: Wow Pink / S, 111578: Yellow / S, 111579: Army Brown / M, 111580: Ash / M, 111581: Athletic Cardinal / M, 111582: Athletic Crimson / M, 111583: Athletic Dark Green / M, 111584: Athletic Gold / M, 111586: Athletic Purple / M, 111588: Athletic Royal / M, 111590: Athletic Yellow / M, 111592: Denim Blue / M, 111593: Fatigue Green / M, 111596: Heather Red / M, 111597: Kelly Green / M, 111598: Lime / M, 111599: Safety Green / M, 111600: Safety Orange / M, 111601: Safety Pink / M, 111602: Sand / M, 111603: Teal / M, 111605: Texas Orange / M, 111606: Wow Pink / M, 111607: Yellow / M, 111609: Ash / L, 111610: Athletic Cardinal / L, 111611: Athletic Crimson / L, 111612: Athletic Dark Green / L, 111613: Athletic Gold / L, 111615: Athletic Purple / L, 111616: Athletic Red / L, 111617: Athletic Royal / L, 111619: Athletic Yellow / L, 111620: Carolina Blue / L, 111621: Denim Blue / L, 111622: Fatigue Green / L, 111624: Heather Navy / L, 111625: Heather Red / L, 111626: Kelly Green / L, 111628: Safety Green / L, 111629: Safety Orange / L, 111630: Safety Pink / L, 111631: Sand / L, 111632: Teal / L, 111635: Wow Pink / L, 111636: Yellow / L, 111637: Army Brown / XL, 111638: Ash / XL, 111639: Athletic Cardinal / XL, 111640: Athletic Crimson / XL, 111641: Athletic Dark Green / XL, 111642: Athletic Gold / XL, 111643: Athletic Navy / XL, 111644: Athletic Purple / XL, 111645: Athletic Red / XL, 111646: Athletic Royal / XL, 111647: Athletic Teal / XL, 111648: Athletic Yellow / XL, 111649: Carolina Blue / XL, 111650: Denim Blue / XL, 111651: Fatigue Green / XL, 111653: Heather Navy / XL, 111654: Heather Red / XL, 111656: Lime / XL, 111657: Safety Green / XL, 111658: Safety Orange / XL, 111659: Safety Pink / XL, 111660: Sand / XL, 111661: Teal / XL, 111664: Wow Pink / XL, 111665: Yellow / XL",30.29,8.55
hoodie,61,1673,Youth Heavy Blend Zipped Hoodie,Dimona Tee,US,26.58,4.75,2.4,2-5 days,US,"115231: XS / Navy, 115232: S / Navy, 115233: M / Navy, 115234: L / Navy, 115235: XL / Navy, 115236: XS / Red, 115237: S / Red, 115238: M / Red, 115239: L / Red, 115240: XL / Red, 115246: XS / Sport Grey, 115247: S / Sport Grey, 115248: M / Sport Grey, 115249: L / Sport Grey, 115250: XL / Sport Grey, 115251: XS / Black, 115252: S / Black, 115253: M / Black, 115254: L / Black, 115255: XL / Black",31.33,8.02
hoodie,99,1525,Unisex Midweight Softstyle Fleece Hoodie,Printify Choice,US,23.53,8.49,2.09,2-5 days,US,"109434: XL / Red, 109438: XL / Sky, 109401: L / Cocoa, 109425: XL / Paragon, 109414: L / White, 109419: L / Black, 109440: XL / Tangerine, 109436: XL / Sand, 109394: M / Tangerine, 109409: L / Pistachio, 109546: XL / Mustard, 109395: M / Yellow Haze, 109442: XL / Black, 109376: S / Military Green, 109443: XL / Forest Green, 109444: XL / Light Pink, 109391: M / White, 109415: L / Sky, 109383: M / Dark Heather, 109433: XL / Purple, 109435: XL / Royal, 109380: M / Pink Lemonade, 109429: XL / Dark Heather, 109541: M / Cement, 109390: M / Sand, 109439: XL / Sport Grey, 109539: S / Cement, 109543: L / Cement, 109377: S / Stone Blue, 109363: S / Pistachio, 109364: S / Purple, 109387: M / Purple, 109431: XL / Navy, 109420: L / Forest Green, 109366: S / Royal, 109384: M / Maroon, 109406: L / Dark Heather, 109361: S / Maroon, 109381: M / Charcoal, 109360: S / Dark Heather, 109445: XL / Military Green, 109427: XL / Charcoal, 109441: XL / Yellow Haze, 109428: XL / Daisy, 109404: L / Charcoal, 109418: L / Yellow Haze, 109432: XL / Pistachio, 109421: L / Light Pink, 109374: S / Forest Green, 109370: S / Sport Grey, 109398: M / Light Pink, 109389: M / Royal, 109542: M / Mustard, 109417: L / Tangerine, 109540: S / Mustard, 109386: M / Pistachio, 109385: M / Navy, 109403: L / Pink Lemonade, 109410: L / Purple, 109378: M / Cocoa, 109400: M / Stone Blue, 109413: L / Sand, 109388: M / Red, 109397: M / Forest Green, 109396: M / Black, 109372: S / Yellow Haze, 109424: XL / Cocoa, 109411: L / Red, 109357: S / Pink Lemonade, 109437: XL / White, 109379: M / Paragon, 109430: XL / Maroon, 109358: S / Charcoal, 109367: S / Sand, 109368: S / White, 109545: XL / Cement, 109408: L / Navy, 109365: S / Red, 109371: S / Tangerine, 109402: L / Paragon, 109355: S / Cocoa, 109362: S / Navy, 109399: M / Military Green, 109422: L / Military Green, 109446: XL / Stone Blue, 109426: XL / Pink Lemonade, 109407: L / Maroon, 109412: L / Royal, 109416: L / Sport Grey, 109373: S / Black, 109405: L / Daisy, 109356: S / Paragon, 109393: M / Sport Grey, 109382: M / Daisy, 109423: L / Stone Blue",32.02,7.67
hoodie,217,1673,Youth Heavy Blend Zipped Hoodie,Fulfill Engine,US,22.27,5.19,2.19,2-5 days,US,"115231: XS / Navy, 115232: S / Navy, 115233: M / Navy, 115234: L / Navy, 115235: XL / Navy, 115236: XS / Red, 115237: S / Red, 115238: M / Red, 115239: L / Red, 115240: XL / Red, 115241: XS / Royal, 115242: S / Royal, 115243: M / Royal, 115244: L / Royal, 115245: XL / Royal, 115246: XS / Sport Grey, 115247: S / Sport Grey, 115248: M / Sport Grey, 115249: L / Sport Grey, 115250: XL / Sport Grey, 115251: XS / Black, 115252: S / Black, 115253: M / Black, 115254: L / Black, 115255: XL / Black",27.46,10.0
mug,1,68,Mug 11oz,SPOKE Custom Products,US,5.39,6.99,3.09,2-5 days,US,33719: 11oz,12.379999999999999,8.77
mug,28,478,"Ceramic Mug, (11oz, 15oz)",District Photo,US,4.61,6.99,3.09,2-5 days,US,65216: 11oz,11.600000000000001,10.0
mug,29,478,"Ceramic Mug, (11oz, 15oz)",Monster Digital,US,5.78,6.99,3.09,2-5 days,US,65216: 11oz,12.77,8.16
mug,59,1151,"Colorful Mugs (11oz, 15oz)",Imagine Your Photos,US,7.17,6.99,3.09,2-5 days,US,"96176: 11oz / Black, 96177: 11oz / Blue, 96178: 11oz / Cambridge Blue, 96179: 11oz / Golden Yellow, 96180: 11oz / Green, 96181: 11oz / Light Blue, 96182: 11oz / Light Green, 96183: 11oz / Maroon, 96184: 11oz / Orange, 96185: 11oz / Pink, 96186: 11oz / Red, 96187: 11oz / Yellow",14.16,5.98
mug,99,479,"Black Mug (11oz, 15oz)",Printify Choice,US,6.89,6.99,3.09,2-5 days,US,65217: 11oz,13.879999999999999,6.42
t-shirt,29,145,Unisex Softstyle T-Shirt,Monster Digital,US,10.0,4.75,2.4,2-5 days,US,"38153: Charcoal / S, 38154: Daisy / S, 38155: Dark Chocolate / S, 38156: Irish Green / S, 38157: Light Blue / S, 38158: Navy / S, 38160: Red / S, 38161: Royal / S, 38162: Sport Grey / S, 38163: White / S, 38164: Black / S, 38166: Military Green / S, 38167: Charcoal / M, 38168: Daisy / M, 38169: Dark Chocolate / M, 38170: Irish Green / M, 38171: Light Blue / M, 38172: Navy / M, 38174: Red / M, 38175: Royal / M, 38176: Sport Grey / M, 38177: White / M, 38178: Black / M, 38180: Military Green / M, 38181: Charcoal / L, 38182: Daisy / L, 38183: Dark Chocolate / L, 38184: Irish Green / L, 38185: Light Blue / L, 38186: Navy / L, 38188: Red / L, 38189: Royal / L, 38190: Sport Grey / L, 38191: White / L, 38192: Black / L, 38194: Military Green / L, 38195: Charcoal / XL, 38196: Daisy / XL, 38197: Dark Chocolate / XL, 38198: Irish Green / XL, 38199: Light Blue / XL, 38200: Navy / XL, 38202: Red / XL, 38203: Royal / XL, 38204: Sport Grey / XL, 38205: White / XL, 38206: Black / XL, 38208: Military Green / XL, 38223: Cornsilk / S, 38225: Cornsilk / M, 38227: Cornsilk / L, 38229: Cornsilk / XL, 42796: Orange / S, 42799: Orange / M, 42802: Orange / L, 42805: Orange / XL, 42818: Heather Navy / S, 42820: Heather Red / S, 42821: Sapphire / S, 42822: Heather Irish Green / S, 42823: Heather Royal / S, 42824: Heather Navy / M, 42826: Heather Red / M, 42827: Sapphire / M, 42828: Heather Irish Green / M, 42829: Heather Royal / M, 42830: Heather Navy / L, 42832: Heather Red / L, 42833: Sapphire / L, 42834: Heather Irish Green / L, 42835: Heather Royal / L, 42836: Heather Navy / XL, 42838: Heather Red / XL, 42839: Sapphire / XL, 42840: Heather Irish Green / XL, 42841: Heather Royal / XL, 63290: Dark Heather / S, 63293: Natural / S, 63294: Gold / S, 63295: Dark Heather / M, 63298: Natural / M, 63299: Gold / M, 63300: Dark Heather / L, 63303: Natural / L, 63304: Gold / L, 63305: Dark Heather / XL, 63308: Natural / XL, 63309: Gold / XL, 64751: Heather Indigo / S, 64759: Heather Indigo / M, 64767: Heather Indigo / L, 64775: Heather Indigo / XL, 66241: Ice Grey / S, 66242: Ice Grey / M, 66243: Ice Grey / L, 66244: Ice Grey / XL, 66371: Tropical Blue / S, 66372: Tropical Blue / M, 66373: Tropical Blue / L, 66374: Tropical Blue / XL, 67436: Sand / S, 67441: Sand / M, 67446: Sand / L, 67451: Sand / XL",14.75,6.04
t-shirt,39,1439,Unisex HD Cotton™ T-shirt,SwiftPOD,US,9.97,4.75,2.4,2-5 days,US,"104866: Admiral Blue / S, 104867: Admiral Blue / M, 104868: Admiral Blue / L, 104869: Admiral Blue / XL, 104872: Aquatic Blue / S, 104873: Aquatic Blue / M, 104874: Aquatic Blue / L, 104875: Aquatic Blue / XL, 104878: Ash / S, 104879: Ash / M, 104880: Ash / L, 104881: Ash / XL, 104884: Athletic Heather / S, 104885: Athletic Heather / M, 104886: Athletic Heather / L, 104887: Athletic Heather / XL, 104890: Azalea / S, 104891: Azalea / M, 104892: Azalea / L, 104893: Azalea / XL, 104896: Black / S, 104898: Black / L, 104899: Black / XL, 104902: Black Heather	 / S, 104903: Black Heather	 / M, 104904: Black Heather	 / L, 104905: Black Heather	 / XL, 104908: Burnt Orange	 / S, 104909: Burnt Orange	 / M, 104910: Burnt Orange	 / L, 104911: Burnt Orange	 / XL, 104914: Cardinal / S, 104915: Cardinal / M, 104916: Cardinal / L, 104917: Cardinal / XL, 104920: Charcoal Grey	 / S, 104921: Charcoal Grey	 / M, 104922: Charcoal Grey	 / L, 104923: Charcoal Grey	 / XL, 104926: Chocolate / S, 104927: Chocolate / M, 104928: Chocolate / L, 104929: Chocolate / XL, 104932: Classic Pink	 / S, 104933: Classic Pink	 / M, 104934: Classic Pink	 / L, 104935: Classic Pink	 / XL, 104938: Columbia Blue	 / S, 104939: Columbia Blue	 / M, 104940: Columbia Blue	 / L, 104941: Columbia Blue	 / XL, 104944: Cyber Pink	 / S, 104945: Cyber Pink	 / M, 104946: Cyber Pink	 / L, 104947: Cyber Pink	 / XL, 104950: Deep Purple	 / S, 104951: Deep Purple	 / M, 104952: Deep Purple	 / L, 104953: Deep Purple	 / XL, 104956: Denim	 / S, 104957: Denim	 / M, 104958: Denim	 / L, 104959: Denim	 / XL, 104968: Forest Green	 / S, 104969: Forest Green	 / M, 104970: Forest Green	 / L, 104971: Forest Green	 / XL, 104974: Gold	 / S, 104975: Gold	 / M, 104976: Gold	 / L, 104977: Gold	 / XL, 104980: J Navy / S, 104981: J Navy / M, 104982: J Navy / L, 104983: J Navy / XL, 104986: Kelly	 / S, 104987: Kelly	 / M, 104988: Kelly	 / L, 104989: Kelly	 / XL, 104992: Kiwi	 / S, 104993: Kiwi	 / M, 104994: Kiwi	 / L, 104995: Kiwi	 / XL, 104998: Light Blue	 / S, 104999: Light Blue	 / M, 105000: Light Blue	 / L, 105001: Light Blue	 / XL, 105004: Maroon	 / S, 105005: Maroon	 / M, 105006: Maroon	 / L, 105007: Maroon	 / XL, 105016: Natural / S, 105017: Natural / M, 105018: Natural / L, 105019: Natural / XL, 105022: Pacific Blue	 / S, 105023: Pacific Blue	 / M, 105024: Pacific Blue	 / L, 105025: Pacific Blue	 / XL, 105028: Purple	 / S, 105029: Purple	 / M, 105030: Purple	 / L, 105031: Purple	 / XL, 105034: Retro Heather Coral	 / S, 105035: Retro Heather Coral	 / M, 105036: Retro Heather Coral	 / L, 105037: Retro Heather Coral	 / XL, 105040: Retro Heather Pink	 / S, 105041: Retro Heather Pink	 / M, 105042: Retro Heather Pink	 / L, 105043: Retro Heather Pink	 / XL, 105046: Retro Heather Purple	 / S, 105047: Retro Heather Purple	 / M, 105048: Retro Heather Purple	 / L, 105049: Retro Heather Purple	 / XL, 105052: Retro Heather Royal	 / S, 105053: Retro Heather Royal	 / M, 105054: Retro Heather Royal	 / L, 105055: Retro Heather Royal	 / XL, 105058: Royal / S, 105059: Royal / M, 105060: Royal / L, 105061: Royal / XL, 105064: Safari / S, 105065: Safari / M, 105066: Safari / L, 105067: Safari / XL, 105070: Sagestone	 / S, 105071: Sagestone	 / M, 105072: Sagestone	 / L, 105073: Sagestone	 / XL, 105076: Scuba Blue	 / S, 105077: Scuba Blue	 / M, 105078: Scuba Blue	 / L, 105079: Scuba Blue	 / XL, 105082: Silver / S, 105083: Silver / M, 105084: Silver / L, 105085: Silver / XL, 105088: Tennessee Orange	 / S, 105089: Tennessee Orange	 / M, 105090: Tennessee Orange	 / L, 105091: Tennessee Orange	 / XL, 105094: True Red / S, 105095: True Red / M, 105096: True Red / L, 105097: True Red / XL, 105100: Turquoise Heather / S, 105101: Turquoise Heather / M, 105102: Turquoise Heather / L, 105103: Turquoise Heather / XL, 105106: Vintage Heather Navy / S, 105107: Vintage Heather Navy / M, 105108: Vintage Heather Navy / L, 105109: Vintage Heather Navy / XL, 105112: White / S, 105113: White / M, 105114: White / L, 105115: White / XL, 105118: Yellow	 / S, 105119: Yellow	 / M, 105120: Yellow	 / L, 105121: Yellow	 / XL, 105464: Blush Pink / S, 105465: Blush Pink / M, 105466: Blush Pink / L, 105467: Blush Pink / XL, 105470: Clover / S, 105471: Clover / M, 105472: Clover / L, 105473: Clover / XL",14.72,6.06
t-shirt,61,145,Unisex Softstyle T-Shirt,Dimona Tee,US,9.86,4.75,2.4,2-5 days,US,"38153: Charcoal / S, 38154: Daisy / S, 38155: Dark Chocolate / S, 38158: Navy / S, 38160: Red / S, 38161: Royal / S, 38162: Sport Grey / S, 38163: White / S, 38164: Black / S, 38166: Military Green / S, 38167: Charcoal / M, 38168: Daisy / M, 38169: Dark Chocolate / M, 38172: Navy / M, 38174: Red / M, 38175: Royal / M, 38176: Sport Grey / M, 38177: White / M, 38178: Black / M, 38180: Military Green / M, 38181: Charcoal / L, 38182: Daisy / L, 38183: Dark Chocolate / L, 38186: Navy / L, 38188: Red / L, 38189: Royal / L, 38190: Sport Grey / L, 38191: White / L, 38192: Black / L, 38194: Military Green / L, 38195: Charcoal / XL, 38196: Daisy / XL, 38197: Dark Chocolate / XL, 38200: Navy / XL, 38202: Red / XL, 38203: Royal / XL, 38204: Sport Grey / XL, 38205: White / XL, 38206: Black / XL, 38208: Military Green / XL, 42818: Heather Navy / S, 42824: Heather Navy / M, 42830: Heather Navy / L, 42836: Heather Navy / XL, 63290: Dark Heather / S, 63293: Natural / S, 63295: Dark Heather / M, 63298: Natural / M, 63300: Dark Heather / L, 63303: Natural / L, 63305: Dark Heather / XL, 63308: Natural / XL",14.61,6.14
t-shirt,99,145,Unisex Softstyle T-Shirt,Printify Choice,US,9.64,4.75,2.4,2-5 days,US,"63300: Dark Heather / L, 38160: Red / S, 38161: Royal / S, 38197: Dark Chocolate / XL, 63295: Dark Heather / M, 38153: Charcoal / S, 38180: Military Green / M, 38191: White / L, 38200: Navy / XL, 38188: Red / L, 38168: Daisy / M, 63298: Natural / M, 38186: Navy / L, 38203: Royal / XL, 38202: Red / XL, 38158: Navy / S, 38174: Red / M, 38189: Royal / L, 38196: Daisy / XL, 63308: Natural / XL, 38205: White / XL, 38155: Dark Chocolate / S, 38190: Sport Grey / L, 38167: Charcoal / M, 38176: Sport Grey / M, 38166: Military Green / S, 42830: Heather Navy / L, 38208: Military Green / XL, 42818: Heather Navy / S, 38195: Charcoal / XL, 42824: Heather Navy / M, 63290: Dark Heather / S, 38183: Dark Chocolate / L, 38163: White / S, 38175: Royal / M, 38206: Black / XL, 38181: Charcoal / L, 38192: Black / L, 38154: Daisy / S, 63303: Natural / L, 38162: Sport Grey / S, 38178: Black / M, 42836: Heather Navy / XL, 63293: Natural / S, 38177: White / M, 38182: Daisy / L, 38204: Sport Grey / XL, 38169: Dark Chocolate / M, 63305: Dark Heather / XL, 38164: Black / S, 38194: Military Green / L, 38172: Navy / M, 105232: Stone Blue / L, 42831: Heather Purple / L, 93311: Heather Radiant Orchid / L, 63294: Gold / S, 38224: Azalea / S, 63309: Gold / XL, 93347: Heliconia / XL, 67441: Sand / M, 93346: Heliconia / L, 93345: Heliconia / M, 38226: Azalea / M, 67446: Sand / L, 93344: Heliconia / S, 67451: Sand / XL, 63299: Gold / M, 38228: Azalea / L, 67436: Sand / S, 63304: Gold / L, 38230: Azalea / XL, 63307: Maroon / XL, 38184: Irish Green / L, 67454: Kiwi / XL, 64767: Heather Indigo / L, 42794: Antique Sapphire / S, 63297: Maroon / M, 42823: Heather Royal / S, 38198: Irish Green / XL, 42832: Heather Red / L, 64776: Heather Military Green / XL, 64772: Graphite Heather / L, 64759: Heather Indigo / M, 42834: Heather Irish Green / L, 64756: Graphite Heather / S, 42803: Antique Sapphire / XL, 67449: Kiwi / L, 66244: Ice Grey / XL, 42839: Sapphire / XL, 42837: Heather Purple / XL, 67437: Cherry Red / S, 42800: Antique Sapphire / L, 42819: Heather Purple / S, 64780: Graphite Heather / XL, 42796: Orange / S, 63292: Maroon / S, 38223: Cornsilk / S, 42804: Antique Heliconia / XL, 67448: Indigo Blue / L, 64752: Heather Military Green / S, 67442: Cherry Red / M, 38171: Light Blue / M, 42841: Heather Royal / XL, 38185: Light Blue / L, 38187: Purple / L, 67445: Antique Cherry Red / L, 42797: Antique Sapphire / M, 67435: Antique Cherry Red / S, 38156: Irish Green / S, 42815: Cardinal Red / XL, 63302: Maroon / L, 42838: Heather Red / XL, 64769: Heather Sapphire / L, 64753: Heather Sapphire / S, 64775: Heather Indigo / XL, 67447: Cherry Red / L, 64777: Heather Sapphire / XL, 42798: Antique Heliconia / M, 66243: Ice Grey / L, 38159: Purple / S, 64761: Heather Sapphire / M, 42829: Heather Royal / M, 64760: Heather Military Green / M, 38157: Light Blue / S, 42821: Sapphire / S, 38227: Cornsilk / L, 67453: Indigo Blue / XL, 42799: Orange / M, 42820: Heather Red / S, 38229: Cornsilk / XL, 67440: Antique Cherry Red / M, 42833: Sapphire / L, 38225: Cornsilk / M, 42801: Antique Heliconia / L, 42840: Heather Irish Green / XL, 66241: Ice Grey / S, 64764: Graphite Heather / M, 66242: Ice Grey / M, 42812: Cardinal Red / S, 67452: Cherry Red / XL, 42835: Heather Royal / L, 42822: Heather Irish Green / S, 38173: Purple / M, 67439: Kiwi / S, 38201: Purple / XL, 42802: Orange / L, 67444: Kiwi / M, 38170: Irish Green / M, 64751: Heather Indigo / S, 64781: Heather Orange / XL, 64765: Heather Orange / M, 42805: Orange / XL, 42825: Heather Purple / M, 67438: Indigo Blue / S, 67450: Antique Cherry Red / XL, 42814: Cardinal Red / L, 42826: Heather Red / M, 42827: Sapphire / M, 42795: Antique Heliconia / S, 67443: Indigo Blue / M, 64757: Heather Orange / S, 42828: Heather Irish Green / M, 64768: Heather Military Green / L, 64773: Heather Orange / L, 38199: Light Blue / XL, 42813: Cardinal Red / M, 66373: Tropical Blue / L, 66371: Tropical Blue / S, 66374: Tropical Blue / XL, 64778: Jade Dome / XL, 64770: Jade Dome / L, 66330: Lime / M, 66329: Lime / S, 66331: Lime / L, 67839: Heather Royal / XS, 68773: Mint Green / L, 105240: Heather Berry / M, 38207: Forest Green / XL, 105180: Dark Heather Grey / XS, 105242: Heather Berry / XL, 105214: Sky / L, 93310: Heather Radiant Orchid / M, 105221: Light Pink / S, 105278: Paragon / XL, 63306: Kelly Green / XL, 105231: Stone Blue / M, 105269: Heather Maroon / XL, 105266: Heather Maroon / S, 68771: Iris / L, 104685: Dark Heather Grey / M, 94871: Heather Cardinal / L, 105212: Sky / S, 105205: Pistachio / L, 105204: Pistachio / M, 38165: Forest Green / S, 93312: Heather Radiant Orchid / XL, 104684: Dark Heather Grey / S, 105287: Sage / XL, 68776: Coral Silk / XL, 67809: Heather Navy / XS, 63291: Kelly Green / S, 67827: Sport Grey / XS, 94872: Heather Cardinal / XL, 105250: Heather Galapagos Blue / L, 67802: Charcoal / XS, 64774: Carolina Blue / XL, 94870: Heather Cardinal / M, 105268: Heather Maroon / L, 68764: Coral Silk / M, 104687: Dark Heather Grey / XL, 105248: Heather Galapagos Blue / S, 105267: Heather Maroon / M, 67819: Navy / XS, 105203: Pistachio / S, 38193: Forest Green / L, 68759: Mint Green / S, 64754: Jade Dome / S, 105206: Pistachio / XL, 105275: Paragon / S, 68757: Iris / S, 66372: Tropical Blue / M, 68772: Metro Blue / L, 105249: Heather Galapagos Blue / M, 105239: Heather Berry / S, 68756: Coral Silk / S, 93309: Heather Radiant Orchid / S, 105285: Sage / M, 105241: Heather Berry / L, 105251: Heather Galapagos Blue / XL, 67806: Dark Heather / XS, 105259: Heather Heliconia / L, 68758: Metro Blue / S, 66332: Lime / XL, 63301: Kelly Green / L, 68765: Iris / M, 105260: Heather Heliconia / XL, 105277: Paragon / L, 94869: Heather Cardinal / S, 105215: Sky / XL, 105258: Heather Heliconia / M, 64766: Carolina Blue / L, 104686: Dark Heather Grey / L, 105233: Stone Blue / XL, 68777: Iris / XL, 105223: Light Pink / L, 64762: Jade Dome / M, 68778: Metro Blue / XL, 67831: Black / XS, 105286: Sage / L, 64758: Carolina Blue / M, 67824: Royal / XS, 68767: Mint Green / M, 105222: Light Pink / M, 38179: Forest Green / M, 68766: Metro Blue / M, 105276: Paragon / M, 105224: Light Pink / XL, 68770: Coral Silk / L, 105284: Sage / S, 63296: Kelly Green / M, 68779: Mint Green / XL, 105257: Heather Heliconia / S, 67823: Red / XS, 64750: Carolina Blue / S, 105213: Sky / M, 105230: Stone Blue / S, 67829: White / XS",14.39,6.29
t-shirt,103,145,Unisex Softstyle T-Shirt,Stacked Commerce,US,9.51,5.19,2.19,2-5 days,US,"38153: Charcoal / S, 38160: Red / S, 38161: Royal / S, 38162: Sport Grey / S, 38163: White / S, 38164: Black / S, 38166: Military Green / S, 42818: Heather Navy / S, 63290: Dark Heather / S, 63292: Maroon / S, 67436: Sand / S",14.7,6.07
tote bag,10,1389,Tote Bag (AOP),MWW On Demand,US,11.09,5.89,1.49,2-5 days,US,"103599: 13"" × 13'' / Black, 103602: 13"" × 13'' / Red, 103605: 13"" × 13'' / White, 103608: 13"" × 13'' / Beige, 103611: 13"" × 13'' / Navy",16.98,5.12
tote bag,29,1313,Cotton Canvas Tote Bag,Monster Digital,US,9.48,4.75,2.4,2-5 days,US,"101409: Natural / 15"" x 16""",14.23,8.14
tote bag,48,507,"Canvas Tote Bag, 5-Color Straps",Colorway,US,15.75,5.89,1.49,2-5 days,US,"80814: 13"" × 13'' / Beige, 80815: 13"" × 13'' / Black, 80816: 13"" × 13'' / Light blue, 80817: 13"" × 13'' / Light Pink, 80818: 13"" × 13'' / White",21.64,0.0
tote bag,59,707,Wine Tote Bag,Imagine Your Photos,US,14.8,5.59,1.99,2-5 days,US,75587: White / One size / Without corkscrew,20.39,1.37
tote bag,99,1313,Cotton Canvas Tote Bag,Printify Choice,US,9.22,4.75,2.4,2-5 days,US,"101409: Natural / 15"" x 16"", 103598: Black / 15"" x 16""",13.97,8.43
